"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 10:54:16 EET 2023","Fri Aug 04 10:54:17 EET 2023","1365","","test.UserLoginAPITest","","test.UserLoginAPITest","testLoginWithChangedCredentials","testLoginWithChangedCredentials",""
"passed","Fri Aug 04 10:54:13 EET 2023","Fri Aug 04 10:54:15 EET 2023","1405","","test.GetUserOrdersAPITest","","test.GetUserOrdersAPITest","testGetUserOrdersWithAuthorization","testGetUserOrdersWithAuthorization",""
"passed","Fri Aug 04 10:54:06 EET 2023","Fri Aug 04 10:54:07 EET 2023","650","","test.CreateOrderAPITest","","test.CreateOrderAPITest","testCreateOrderWithAuthorizationAndIngredients","testCreateOrderWithAuthorizationAndIngredients",""
"passed","Fri Aug 04 10:54:07 EET 2023","Fri Aug 04 10:54:07 EET 2023","418","","test.CreateOrderAPITest","","test.CreateOrderAPITest","testCreateOrderWithInvalidIngredientHash","testCreateOrderWithInvalidIngredientHash",""
"passed","Fri Aug 04 10:54:15 EET 2023","Fri Aug 04 10:54:16 EET 2023","1443","","test.UserLoginAPITest","","test.UserLoginAPITest","testLoginWithValidCredentials","testLoginWithValidCredentials",""
"passed","Fri Aug 04 10:54:10 EET 2023","Fri Aug 04 10:54:12 EET 2023","1369","","test.CreateUserAPITest","","test.CreateUserAPITest","testUserExists","testUserExists",""
"passed","Fri Aug 04 10:54:07 EET 2023","Fri Aug 04 10:54:07 EET 2023","297","","test.CreateOrderAPITest","","test.CreateOrderAPITest","testCreateOrderWithoutIngredients","testCreateOrderWithoutIngredients",""
"passed","Fri Aug 04 10:54:12 EET 2023","Fri Aug 04 10:54:13 EET 2023","1369","","test.GetUserOrdersAPITest","","test.GetUserOrdersAPITest","testGetUserOrdersWithoutAuthorization","testGetUserOrdersWithoutAuthorization",""
"passed","Fri Aug 04 10:54:17 EET 2023","Fri Aug 04 10:54:19 EET 2023","1378","","test.UserLoginAPITest","","test.UserLoginAPITest","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Fri Aug 04 10:54:09 EET 2023","Fri Aug 04 10:54:10 EET 2023","1319","","test.CreateUserAPITest","","test.CreateUserAPITest","testCreateUserWithMissingField","testCreateUserWithMissingField",""
"passed","Fri Aug 04 10:54:05 EET 2023","Fri Aug 04 10:54:06 EET 2023","335","","test.CreateOrderAPITest","","test.CreateOrderAPITest","testCreateOrderWithoutAuthorization","testCreateOrderWithoutAuthorization",""
"passed","Fri Aug 04 10:54:08 EET 2023","Fri Aug 04 10:54:09 EET 2023","1456","","test.CreateUserAPITest","","test.CreateUserAPITest","testCreateAlreadyRegisteredUser","testCreateAlreadyRegisteredUser",""
